Reactants,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19
C(O)(O)=O.[La][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[Ce][S][C]([C]([N]([H])[H])([C]([H])([C](=[O])[S][Ce])[C](=[O])[O][H])[H])=[O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[La][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[Ce][S][C]([C]([C]([C](=[O])[O][H])([C](=[O])[S][Ce])[C](=[O])[S][Ce])([H])[H])=[O].[Ce][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.[Ce][S][C]([C]([C]([C](=[O])[S][Ce])([C](=[O])[S][Ce])[C](=[O])[S][Ce])([C](=[O])[S][Ce])[C](=[O])[S][Ce])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.[Ce][S][C]([C]([H])=[C]([C](=[O])[O][H])[C](=[O])[S][Ce])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O]([C]([C]([C]([N]([H])[H])([C](=[O])[S][Ce])[C](=[O])[O][H])([H])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[La][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[Ce][S][C]([C]([C]([C]([C](=[O])[O][H])([C](=[O])[S][Ce])[C](=[O])[O][H])([H])[H])([N]([H])[H])[H])=[O].[Ce][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.[O]([C]([C]([N]([H])[H])([C]([C](=[O])[O][H])([C](=[O])[S][Ce])[C](=[O])[S][Ce])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[La][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[Ce][S][H].[O]([C]([C]([C]([H])([C](=[O])[S][Ce])[C](=[O])[S][Ce])([C](=[O])[O][H])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[La][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[Ce][S][C]([C]([C]([H])([C](=[O])[S][Ce])[C](=[O])[O][H])([H])[H])=[O].[Ce][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[La][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[Ce][S][H].[O]([C]([C]([C]([C](=[O])[O][H])([C](=[O])[S][Ce])[C](=[O])[S][Ce])([H])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
